Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
27,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
50,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
74,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
96,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
122,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
147,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
172,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
196,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
222,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
247,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
272,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
305,1,AUTO,STRAIGHT(NO_CTRL),358,250,0,-1,0,1,-90
371,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
396,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
421,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
446,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
472,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-90
500,1,AUTO,STRAIGHT(NO_CTRL),358,251,0,0,0,0,-101.7
523,1,AUTO,STRAIGHT(NO_CTRL),358,250,0,-1,0,1,-100.1
546,1,AUTO,STRAIGHT(NO_CTRL),358,250,0,-1,0,1,-100.1
572,1,AUTO,STRAIGHT(NO_CTRL),358,250,0,-1,0,1,-90
599,1,AUTO,STRAIGHT(NO_CTRL),357,250,-1,-1,-1,1,-87.9
625,1,AUTO,STRAIGHT(NO_CTRL),357,250,-1,-1,-1,1,-87.9
653,1,AUTO,STRAIGHT(NO_CTRL),357,250,-1,-1,-1,1,-104
679,1,AUTO,STRAIGHT(NO_CTRL),357,250,-1,-1,-1,1,-104
709,1,AUTO,STRAIGHT(NO_CTRL),357,249,-1,-2,-1,2,-90
745,1,AUTO,STRAIGHT(NO_CTRL),357,249,-1,-2,-1,2,-90
776,1,AUTO,STRAIGHT(NO_CTRL),357,249,-1,-2,-1,2,-90
811,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-90
843,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-90
877,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-90
910,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-90
944,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-102.1
980,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-102.1
1025,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-90
1058,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-90
1091,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-90
1121,1,AUTO,STRAIGHT(NO_CTRL),357,247,-1,-4,-1,4,-90
1149,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-90
1189,1,AUTO,STRAIGHT(NO_CTRL),357,248,-1,-3,-1,3,-90
1228,1,AUTO,STRAIGHT(NO_CTRL),357,247,-1,-4,-1,4,-90
1257,1,AUTO,STRAIGHT(NO_CTRL),357,247,-1,-4,-1,4,-90
1287,1,AUTO,STRAIGHT(NO_CTRL),357,247,-1,-4,-1,4,-90
1317,1,AUTO,STRAIGHT(NO_CTRL),357,247,-1,-4,-1,4,-90
1344,1,AUTO,STRAIGHT(NO_CTRL),357,247,-1,-4,-1,4,-90
