Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
29,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-87.9
54,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-96.3
79,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-96.3
106,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-87.9
130,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-87.9
152,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-87.9
176,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-87.9
202,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-87.9
229,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-87.9
254,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-87.9
292,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-88
315,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-88
338,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-88
360,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-88
383,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-98.1
406,1,AUTO,STRAIGHT(NO_CTRL),316,339,0,0,0,0,-98.1
428,1,AUTO,STRAIGHT(NO_CTRL),316,338,0,-1,0,1,-87.9
451,1,AUTO,STRAIGHT(NO_CTRL),316,338,0,-1,0,1,-87.9
474,1,AUTO,STRAIGHT(NO_CTRL),317,338,1,-1,1,1,-90
497,1,AUTO,STRAIGHT(NO_CTRL),317,338,1,-1,1,1,-90
521,1,AUTO,STRAIGHT(NO_CTRL),317,338,1,-1,1,1,-90
544,1,AUTO,STRAIGHT(NO_CTRL),317,338,1,-1,1,1,-90
568,1,AUTO,STRAIGHT(NO_CTRL),317,338,1,-1,1,1,-90
591,1,AUTO,STRAIGHT(NO_CTRL),318,338,2,-1,2,1.1,-92
614,1,AUTO,STRAIGHT(NO_CTRL),318,338,2,-1,2,1.1,-92
643,1,AUTO,STRAIGHT(NO_CTRL),318,338,2,-1,2,1.1,-90
669,1,AUTO,STRAIGHT(NO_CTRL),318,338,2,-1,2,1.1,-90
695,1,AUTO,STRAIGHT(NO_CTRL),318,338,2,-1,2,1.1,-90
