Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-92
15,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-90
31,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-90
47,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-90
62,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-90
77,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-92
95,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-92
112,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-92
128,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-92
146,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-92
161,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-92.1
178,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-92.1
194,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-92.1
212,1,AUTO,STRAIGHT(NO_CTRL),335,272,0,0,0,0,-92.1
227,1,AUTO,STRAIGHT(NO_CTRL),334,272,-1,0,-1,0,-92
245,1,AUTO,STRAIGHT(NO_CTRL),334,272,-1,0,-1,0,-92
262,1,AUTO,STRAIGHT(NO_CTRL),334,272,-1,0,-1,0,-92
279,1,AUTO,STRAIGHT(NO_CTRL),334,272,-1,0,-1,0,-92
294,1,AUTO,STRAIGHT(NO_CTRL),334,271,-1,-1,-1,1,-92
312,1,AUTO,STRAIGHT(NO_CTRL),334,271,-1,-1,-1,1,-92
328,1,AUTO,STRAIGHT(NO_CTRL),334,271,-1,-1,-1,1,-92
345,1,AUTO,STRAIGHT(NO_CTRL),334,271,-1,-1,-1,1,-92
362,1,AUTO,STRAIGHT(NO_CTRL),333,271,-2,-1,-2,1.1,-90
378,1,AUTO,STRAIGHT(NO_CTRL),333,271,-2,-1,-2,1.1,-90
401,1,AUTO,STRAIGHT(NO_CTRL),333,271,-2,-1,-2,1.1,-90
416,1,AUTO,STRAIGHT(NO_CTRL),332,270,-3,-2,-2.9,2.1,-90
431,1,AUTO,STRAIGHT(NO_CTRL),332,270,-3,-2,-2.9,2.1,-90
446,1,AUTO,STRAIGHT(NO_CTRL),332,270,-3,-2,-2.9,2.1,-90
461,1,AUTO,STRAIGHT(NO_CTRL),332,270,-3,-2,-2.9,2.1,-90
478,1,AUTO,STRAIGHT(NO_CTRL),332,270,-3,-2,-2.9,2.1,-92
495,1,AUTO,STRAIGHT(NO_CTRL),332,270,-3,-2,-2.9,2.1,-92
512,1,AUTO,STRAIGHT(NO_CTRL),332,270,-3,-2,-2.9,2.1,-92
527,1,AUTO,STRAIGHT(NO_CTRL),332,270,-3,-2,-2.9,2.1,-92
545,1,AUTO,STRAIGHT(NO_CTRL),332,270,-3,-2,-2.9,2.1,-92
561,1,AUTO,STRAIGHT(NO_CTRL),330,269,-5,-3,-4.9,3.2,-90
578,1,AUTO,STRAIGHT(NO_CTRL),330,269,-5,-3,-4.9,3.2,-90
595,1,AUTO,STRAIGHT(NO_CTRL),330,269,-5,-3,-4.9,3.2,-90
612,1,AUTO,STRAIGHT(NO_CTRL),330,269,-5,-3,-4.9,3.2,-90
628,1,AUTO,STRAIGHT(NO_CTRL),329,269,-6,-3,-5.9,3.2,-90
646,1,AUTO,STRAIGHT(NO_CTRL),329,269,-6,-3,-5.9,3.2,-90
661,1,AUTO,STRAIGHT(NO_CTRL),329,269,-6,-3,-5.9,3.2,-90
