Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-90
17,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-90
33,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
50,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
66,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
84,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
101,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
119,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
142,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
157,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
172,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
186,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
200,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
216,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-88
233,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-90
250,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-90
266,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-90
284,1,AUTO,STRAIGHT(NO_CTRL),316,255,0,0,0,0,-90
298,1,AUTO,STRAIGHT(NO_CTRL),316,254,0,-1,0,1,-92
316,1,AUTO,STRAIGHT(NO_CTRL),316,254,0,-1,0,1,-92
333,1,AUTO,STRAIGHT(NO_CTRL),316,254,0,-1,0,1,-92
351,1,AUTO,STRAIGHT(NO_CTRL),316,254,0,-1,0,1,-92
366,1,AUTO,STRAIGHT(NO_CTRL),315,254,-1,-1,-1,1,-86.1
383,1,AUTO,STRAIGHT(NO_CTRL),315,254,-1,-1,-1,1,-86.1
400,1,AUTO,STRAIGHT(NO_CTRL),315,254,-1,-1,-1,1,-86.1
417,1,AUTO,STRAIGHT(NO_CTRL),315,254,-1,-1,-1,1,-86.1
434,1,AUTO,STRAIGHT(NO_CTRL),315,253,-1,-2,-1,2,-86.1
449,1,AUTO,STRAIGHT(NO_CTRL),315,253,-1,-2,-1,2,-86.1
467,1,AUTO,STRAIGHT(NO_CTRL),315,253,-1,-2,-1,2,-86.1
482,1,AUTO,STRAIGHT(NO_CTRL),315,253,-1,-2,-1,2,-86.1
500,1,AUTO,STRAIGHT(NO_CTRL),313,253,-3,-2,-3,2,-82.1
517,1,AUTO,STRAIGHT(NO_CTRL),313,253,-3,-2,-3,2,-82.1
543,1,AUTO,STRAIGHT(NO_CTRL),313,253,-3,-2,-3,2,-82.1
559,1,AUTO,STRAIGHT(NO_CTRL),312,253,-4,-2,-4,2,-82.1
576,1,AUTO,STRAIGHT(NO_CTRL),312,253,-4,-2,-4,2,-82.1
590,1,AUTO,STRAIGHT(NO_CTRL),312,253,-4,-2,-4,2,-82.1
605,1,AUTO,STRAIGHT(NO_CTRL),312,253,-4,-2,-4,2,-82.1
620,1,AUTO,STRAIGHT(NO_CTRL),312,253,-4,-2,-4,2,-82.1
635,1,AUTO,STRAIGHT(NO_CTRL),312,252,-4,-3,-4,3,-83.9
649,1,AUTO,STRAIGHT(NO_CTRL),312,252,-4,-3,-4,3,-83.9
666,1,AUTO,STRAIGHT(NO_CTRL),312,252,-4,-3,-4,3,-83.9
683,1,AUTO,STRAIGHT(NO_CTRL),312,252,-4,-3,-4,3,-83.9
699,1,AUTO,STRAIGHT(NO_CTRL),311,252,-5,-3,-5,3,-84.1
716,1,AUTO,STRAIGHT(NO_CTRL),311,252,-5,-3,-5,3,-84.1
733,1,AUTO,STRAIGHT(NO_CTRL),311,252,-5,-3,-5,3,-84.1
750,1,AUTO,STRAIGHT(NO_CTRL),311,252,-5,-3,-5,3,-84.1
767,1,AUTO,STRAIGHT(NO_CTRL),310,251,-6,-4,-6,4,-82.1
782,1,AUTO,STRAIGHT(NO_CTRL),310,251,-6,-4,-6,4,-82.1
800,1,AUTO,STRAIGHT(NO_CTRL),310,251,-6,-4,-6,4,-82.1
817,1,AUTO,STRAIGHT(NO_CTRL),310,251,-6,-4,-6,4,-82.1
833,1,AUTO,STRAIGHT(NO_CTRL),309,250,-7,-5,-7,5,-80.2
850,1,AUTO,STRAIGHT(NO_CTRL),309,250,-7,-5,-7,5,-80.2
866,1,AUTO,STRAIGHT(NO_CTRL),309,250,-7,-5,-7,5,-80.2
883,1,AUTO,STRAIGHT(NO_CTRL),309,250,-7,-5,-7,5,-80.2
899,1,AUTO,STRAIGHT(NO_CTRL),309,250,-7,-5,-7,5,-82.4
918,1,AUTO,STRAIGHT(NO_CTRL),309,250,-7,-5,-7,5,-82.4
933,1,AUTO,STRAIGHT(NO_CTRL),309,250,-7,-5,-7,5,-82.4
950,1,AUTO,STRAIGHT(NO_CTRL),309,250,-7,-5,-7,5,-82.4
966,1,AUTO,STRAIGHT(NO_CTRL),308,249,-8,-6,-8,6,-78.3
984,1,AUTO,STRAIGHT(NO_CTRL),308,249,-8,-6,-8,6,-78.3
1006,1,AUTO,STRAIGHT(NO_CTRL),308,249,-8,-6,-8,6,-78.3
1023,1,AUTO,STRAIGHT(NO_CTRL),308,249,-8,-6,-8,6,-78.3
1038,1,AUTO,STRAIGHT(NO_CTRL),308,249,-8,-6,-8,6,-80.5
1053,1,AUTO,STRAIGHT(NO_CTRL),308,249,-8,-6,-8,6,-80.5
1069,1,AUTO,STRAIGHT(NO_CTRL),308,249,-8,-6,-8,6,-80.5
1084,1,AUTO,STRAIGHT(NO_CTRL),308,249,-8,-6,-8,6,-80.5
1100,1,AUTO,STRAIGHT(NO_CTRL),308,248,-8,-7,-8,7,-77.9
1116,1,AUTO,STRAIGHT(NO_CTRL),308,248,-8,-7,-8,7,-77.9
