Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
38,1,AUTO,STRAIGHT(NO_CTRL),308,265,-1,0,-1,0,-102.1
69,1,AUTO,STRAIGHT(NO_CTRL),308,265,-1,0,-1,0,-92
95,1,AUTO,STRAIGHT(NO_CTRL),308,265,-1,0,-1,0,-92
120,1,AUTO,STRAIGHT(NO_CTRL),309,265,0,0,0,0,-104
143,1,AUTO,STRAIGHT(NO_CTRL),309,265,0,0,0,0,-104
170,1,AUTO,STRAIGHT(NO_CTRL),308,265,-1,0,-1,0,-90
194,1,AUTO,STRAIGHT(NO_CTRL),308,265,-1,0,-1,0,-90
219,1,AUTO,STRAIGHT(NO_CTRL),308,265,-1,0,-1,0,-90
246,1,AUTO,STRAIGHT(NO_CTRL),308,265,-1,0,-1,0,-90
271,1,AUTO,STRAIGHT(NO_CTRL),309,265,0,0,0,0,-92
295,1,AUTO,STRAIGHT(NO_CTRL),309,265,0,0,0,0,-92
319,1,AUTO,STRAIGHT(NO_CTRL),308,265,-1,0,-1,0,-90
345,1,AUTO,STRAIGHT(NO_CTRL),308,265,-1,0,-1,0,-90
385,1,AUTO,STRAIGHT(NO_CTRL),308,264,-1,-1,-1,1,-92.1
408,1,AUTO,STRAIGHT(NO_CTRL),307,264,-2,-1,-2,1.1,-90
432,1,AUTO,STRAIGHT(NO_CTRL),307,264,-2,-1,-2,1.1,-90
456,1,AUTO,STRAIGHT(NO_CTRL),307,263,-2,-2,-1.9,2.1,-90
486,1,AUTO,STRAIGHT(NO_CTRL),307,263,-2,-2,-1.9,2.1,-100.1
512,1,AUTO,STRAIGHT(NO_CTRL),307,263,-2,-2,-1.9,2.1,-100.1
540,1,AUTO,STRAIGHT(NO_CTRL),307,262,-2,-3,-1.9,3.1,-104
566,1,AUTO,STRAIGHT(NO_CTRL),307,262,-2,-3,-1.9,3.1,-104
591,1,AUTO,STRAIGHT(NO_CTRL),307,262,-2,-3,-1.9,3.1,-90
615,1,AUTO,STRAIGHT(NO_CTRL),308,262,-1,-3,-0.9,3,-92.1
639,1,AUTO,STRAIGHT(NO_CTRL),308,262,-1,-3,-0.9,3,-92.1
663,1,AUTO,STRAIGHT(NO_CTRL),308,261,-1,-4,-0.9,4,-92
688,1,AUTO,STRAIGHT(NO_CTRL),308,261,-1,-4,-0.9,4,-92
713,1,AUTO,STRAIGHT(NO_CTRL),308,261,-1,-4,-0.9,4,-92
737,1,AUTO,STRAIGHT(NO_CTRL),308,260,-1,-5,-0.8,5,-92.1
761,1,AUTO,STRAIGHT(NO_CTRL),308,260,-1,-5,-0.8,5,-92.1
786,1,AUTO,STRAIGHT(NO_CTRL),308,260,-1,-5,-0.8,5,-104
809,1,AUTO,STRAIGHT(NO_CTRL),308,259,-1,-6,-0.8,6,-106.5
831,1,AUTO,STRAIGHT(NO_CTRL),308,259,-1,-6,-0.8,6,-106.5
854,1,AUTO,STRAIGHT(NO_CTRL),307,259,-2,-6,-1.8,6.1,-98.4
879,1,AUTO,STRAIGHT(NO_CTRL),307,259,-2,-6,-1.8,6.1,-98.4
908,1,AUTO,STRAIGHT(NO_CTRL),307,259,-2,-6,-1.8,6.1,-105.9
936,1,AUTO,STRAIGHT(NO_CTRL),307,259,-2,-6,-1.8,6.1,-105.9
961,1,AUTO,STRAIGHT(NO_CTRL),307,258,-2,-7,-1.7,7.1,-94.2
986,1,AUTO,STRAIGHT(NO_CTRL),307,258,-2,-7,-1.7,7.1,-10.8
1011,1,AUTO,STRAIGHT(NO_CTRL),307,258,-2,-7,-1.7,7.1,-10.8
1037,1,AUTO,STRAIGHT(NO_CTRL),306,257,-3,-8,-2.7,8.1,-94.2
1061,1,AUTO,STRAIGHT(NO_CTRL),306,257,-3,-8,-2.7,8.1,-94.2
1100,1,AUTO,STRAIGHT(NO_CTRL),306,257,-3,-8,-2.7,8.1,-96.3
1126,1,AUTO,STRAIGHT(NO_CTRL),306,257,-3,-8,-2.7,8.1,-96.1
1150,1,AUTO,STRAIGHT(NO_CTRL),306,257,-3,-8,-2.7,8.1,-96.3
1175,1,AUTO,STRAIGHT(NO_CTRL),306,257,-3,-8,-2.7,8.1,-96.3
1199,1,AUTO,STRAIGHT(NO_CTRL),306,256,-3,-9,-2.7,9.1,-96.1
1224,1,AUTO,STRAIGHT(NO_CTRL),306,255,-3,-10,-2.6,10.1,-103
1248,1,AUTO,STRAIGHT(NO_CTRL),306,255,-3,-10,-2.6,10.1,-103
1274,1,AUTO,STRAIGHT(NO_CTRL),306,255,-3,-10,-2.6,10.1,-100.1
1302,1,AUTO,STRAIGHT(NO_CTRL),306,255,-3,-10,-2.6,10.1,-100.1
1328,1,AUTO,STRAIGHT(NO_CTRL),306,254,-3,-11,-2.6,11.1,-98.7
1353,1,AUTO,STRAIGHT(NO_CTRL),306,254,-3,-11,-2.6,11.1,-98.4
1377,1,AUTO,STRAIGHT(NO_CTRL),306,254,-3,-11,-2.6,11.1,-98.4
1400,1,AUTO,STRAIGHT(NO_CTRL),306,254,-3,-11,-2.6,11.1,-104
1424,1,AUTO,STRAIGHT(NO_CTRL),306,254,-3,-11,-2.6,11.1,-104
1450,1,AUTO,STRAIGHT(NO_CTRL),306,253,-3,-12,-2.6,12.1,-108.4
1472,1,AUTO,STRAIGHT(NO_CTRL),306,253,-3,-12,-2.6,12.1,-108.4
1495,1,AUTO,STRAIGHT(NO_CTRL),306,253,-3,-12,-2.6,12.1,-100.5
1518,1,AUTO,STRAIGHT(NO_CTRL),306,253,-3,-12,-2.6,12.1,-100.5
1543,1,AUTO,STRAIGHT(NO_CTRL),305,253,-4,-12,-3.6,12.1,-98.4
1572,1,AUTO,STRAIGHT(NO_CTRL),305,252,-4,-13,-3.5,13.1,-100.5
1599,1,AUTO,STRAIGHT(NO_CTRL),305,252,-4,-13,-3.5,13.1,-100.5
1626,1,AUTO,STRAIGHT(NO_CTRL),305,252,-4,-13,-3.5,13.1,-100.9
1651,1,AUTO,STRAIGHT(NO_CTRL),305,252,-4,-13,-3.5,13.1,-100.5
1674,1,AUTO,STRAIGHT(NO_CTRL),305,252,-4,-13,-3.5,13.1,-100.5
1700,1,AUTO,STRAIGHT(NO_CTRL),305,251,-4,-14,-3.5,14.1,-100.9
1726,1,AUTO,STRAIGHT(NO_CTRL),305,251,-4,-14,-3.5,14.1,-100.9
1753,1,AUTO,STRAIGHT(NO_CTRL),305,251,-4,-14,-3.5,14.1,-100.9
1779,1,AUTO,STRAIGHT(NO_CTRL),305,251,-4,-14,-3.5,14.1,-102.5
1816,1,AUTO,STRAIGHT(NO_CTRL),305,250,-4,-15,-3.5,15.1,-103
1839,1,AUTO,STRAIGHT(NO_CTRL),305,250,-4,-15,-3.5,15.1,-103
1862,1,AUTO,STRAIGHT(NO_CTRL),305,250,-4,-15,-3.5,15.1,-103
1888,1,AUTO,STRAIGHT(NO_CTRL),305,250,-4,-15,-3.5,15.1,-103
1911,1,AUTO,STRAIGHT(NO_CTRL),304,249,-5,-16,-4.4,16.2,-100.9
1934,1,AUTO,STRAIGHT(NO_CTRL),304,249,-5,-16,-4.4,16.2,-100.9
1960,1,AUTO,STRAIGHT(NO_CTRL),305,249,-4,-16,-3.4,16.1,-102.5
1982,1,AUTO,STRAIGHT(NO_CTRL),305,249,-4,-16,-3.4,16.1,-102.5
2005,1,AUTO,STRAIGHT(NO_CTRL),305,249,-4,-16,-3.4,16.1,-102.5
2030,1,AUTO,STRAIGHT(NO_CTRL),305,248,-4,-17,-3.4,17.1,-103
2053,1,AUTO,STRAIGHT(NO_CTRL),305,248,-4,-17,-3.4,17.1,-103
2077,1,AUTO,STRAIGHT(NO_CTRL),305,248,-4,-17,-3.4,17.1,-103
2103,1,AUTO,STRAIGHT(NO_CTRL),305,248,-4,-17,-3.4,17.1,-103
