Time(ms),Mode,TargetInput,ActualCommand,BackX,BackY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.5
19,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.5
42,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.5
60,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.5
77,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.4
95,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.4
113,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.5
130,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.5
148,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.4
164,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.4
180,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.4
199,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.4
216,1,AUTO,STRAIGHT(NO_CTRL),365,263,0,0,0,0,-86.4
235,1,AUTO,STRAIGHT(NO_CTRL),365,264,0,1,0.1,-1,-86.4
253,1,AUTO,STRAIGHT(NO_CTRL),365,264,0,1,0.1,-1,-86.4
271,1,AUTO,STRAIGHT(NO_CTRL),365,264,0,1,0.1,-1,-86.4
288,1,AUTO,STRAIGHT(NO_CTRL),365,265,0,2,0.1,-2,-86.4
305,1,AUTO,STRAIGHT(NO_CTRL),365,265,0,2,0.1,-2,-86.4
322,1,AUTO,STRAIGHT(NO_CTRL),365,266,0,3,0.2,-3,-86.5
340,1,AUTO,STRAIGHT(NO_CTRL),365,266,0,3,0.2,-3,-86.5
359,1,AUTO,STRAIGHT(NO_CTRL),365,266,0,3,0.2,-3,-86.4
379,1,AUTO,STRAIGHT(NO_CTRL),365,266,0,3,0.2,-3,-86.4
400,1,AUTO,STRAIGHT(NO_CTRL),365,267,0,4,0.2,-4,-86.4
424,1,AUTO,STRAIGHT(NO_CTRL),365,268,0,5,0.3,-5,-86.5
440,1,AUTO,STRAIGHT(NO_CTRL),365,268,0,5,0.3,-5,-86.5
459,1,AUTO,STRAIGHT(NO_CTRL),365,268,0,5,0.3,-5,-84.6
480,1,AUTO,STRAIGHT(NO_CTRL),366,269,1,6,1.4,-5.9,-86.4
499,1,AUTO,STRAIGHT(NO_CTRL),366,269,1,6,1.4,-5.9,-86.4
515,1,AUTO,STRAIGHT(NO_CTRL),366,269,1,6,1.4,-5.9,-86.4
532,1,AUTO,STRAIGHT(NO_CTRL),366,269,1,6,1.4,-5.9,-86.4
548,1,AUTO,STRAIGHT(NO_CTRL),366,269,1,6,1.4,-5.9,-86.4
565,1,AUTO,STRAIGHT(NO_CTRL),365,270,0,7,0.4,-7,-84.6
582,1,AUTO,STRAIGHT(NO_CTRL),365,270,0,7,0.4,-7,-84.6
603,1,AUTO,STRAIGHT(NO_CTRL),366,271,1,8,1.5,-7.9,-86.5
619,1,AUTO,STRAIGHT(NO_CTRL),366,272,1,9,1.5,-8.9,-84.8
635,1,AUTO,STRAIGHT(NO_CTRL),366,272,1,9,1.5,-8.9,-84.8
652,1,AUTO,STRAIGHT(NO_CTRL),366,272,1,9,1.5,-8.9,-84.6
670,1,AUTO,STRAIGHT(NO_CTRL),366,272,1,9,1.5,-8.9,-84.6
687,1,AUTO,STRAIGHT(NO_CTRL),366,273,1,10,1.6,-9.9,-84.8
703,1,AUTO,STRAIGHT(NO_CTRL),366,273,1,10,1.6,-9.9,-84.8
719,1,AUTO,STRAIGHT(NO_CTRL),366,273,1,10,1.6,-9.9,-82.9
735,1,AUTO,STRAIGHT(NO_CTRL),366,273,1,10,1.6,-9.9,-82.9
752,1,AUTO,STRAIGHT(NO_CTRL),367,274,2,11,2.7,-10.9,-84.6
769,1,AUTO,STRAIGHT(NO_CTRL),367,274,2,11,2.7,-10.9,-84.6
785,1,AUTO,STRAIGHT(NO_CTRL),366,274,1,11,1.7,-10.9,-82.9
802,1,AUTO,STRAIGHT(NO_CTRL),366,274,1,11,1.7,-10.9,-82.9
818,1,AUTO,STRAIGHT(NO_CTRL),367,275,2,12,2.7,-11.9,-84.6
840,1,AUTO,STRAIGHT(NO_CTRL),367,275,2,12,2.7,-11.9,-84.6
860,1,AUTO,STRAIGHT(NO_CTRL),367,276,2,13,2.8,-12.9,-82.9
892,1,AUTO,STRAIGHT(NO_CTRL),367,277,2,14,2.8,-13.9,-82.9
909,1,AUTO,STRAIGHT(NO_CTRL),367,278,2,15,2.9,-14.9,-82.9
927,1,AUTO,STRAIGHT(NO_CTRL),367,278,2,15,2.9,-14.9,-82.9
945,1,AUTO,STRAIGHT(NO_CTRL),367,278,2,15,2.9,-14.9,-82.9
962,1,AUTO,STRAIGHT(NO_CTRL),367,279,2,16,3,-15.8,-82.9
979,1,AUTO,STRAIGHT(NO_CTRL),367,279,2,16,3,-15.8,-82.9
996,1,AUTO,STRAIGHT(NO_CTRL),367,280,2,17,3,-16.8,-82.9
1016,1,AUTO,STRAIGHT(NO_CTRL),367,280,2,17,3,-16.8,-82.9
1036,1,AUTO,STRAIGHT(NO_CTRL),366,281,1,18,2.1,-17.9,-81.1
1054,1,AUTO,STRAIGHT(NO_CTRL),366,282,1,19,2.1,-18.9,-81.1
1071,1,AUTO,STRAIGHT(NO_CTRL),366,282,1,19,2.1,-18.9,-81.1
1089,1,AUTO,STRAIGHT(NO_CTRL),366,283,1,20,2.2,-19.9,-83.1
1105,1,AUTO,STRAIGHT(NO_CTRL),366,283,1,20,2.2,-19.9,-83.1
1123,1,AUTO,STRAIGHT(NO_CTRL),366,284,1,21,2.3,-20.9,-81.1
1140,1,AUTO,STRAIGHT(NO_CTRL),366,284,1,21,2.3,-20.9,-81.1
1157,1,AUTO,STRAIGHT(NO_CTRL),366,285,1,22,2.3,-21.9,-83.1
1174,1,AUTO,STRAIGHT(NO_CTRL),366,285,1,22,2.3,-21.9,-83.1
1192,1,AUTO,STRAIGHT(NO_CTRL),366,285,1,22,2.3,-21.9,-82.9
1210,1,AUTO,STRAIGHT(NO_CTRL),366,286,1,23,2.4,-22.9,-82.9
1227,1,AUTO,STRAIGHT(NO_CTRL),366,286,1,23,2.4,-22.9,-82.9
1244,1,AUTO,STRAIGHT(NO_CTRL),365,287,0,24,1.5,-24,-81.1
1262,1,AUTO,STRAIGHT(NO_CTRL),365,287,0,24,1.5,-24,-81.1
1280,1,AUTO,STRAIGHT(NO_CTRL),366,288,1,25,2.5,-24.9,-82.9
1298,1,AUTO,STRAIGHT(NO_CTRL),366,288,1,25,2.5,-24.9,-82.9
1315,1,AUTO,STRAIGHT(NO_CTRL),365,289,0,26,1.6,-26,-81.1
1332,1,AUTO,STRAIGHT(NO_CTRL),365,289,0,26,1.6,-26,-81.1
1349,1,AUTO,STRAIGHT(NO_CTRL),365,289,0,26,1.6,-26,-81.1
1368,1,AUTO,STRAIGHT(NO_CTRL),365,290,0,27,1.6,-27,-82.9
1387,1,AUTO,STRAIGHT(NO_CTRL),365,291,0,28,1.7,-27.9,-83.1
1413,1,AUTO,STRAIGHT(NO_CTRL),365,291,0,28,1.7,-27.9,-83.1
1430,1,AUTO,STRAIGHT(NO_CTRL),365,292,0,29,1.8,-28.9,-84.8
1446,1,AUTO,STRAIGHT(NO_CTRL),365,292,0,29,1.8,-28.9,-84.8
1464,1,AUTO,STRAIGHT(NO_CTRL),365,292,0,29,1.8,-28.9,-84.6
1480,1,AUTO,STRAIGHT(NO_CTRL),365,292,0,29,1.8,-28.9,-84.6
1498,1,AUTO,STRAIGHT(NO_CTRL),364,293,-1,30,0.8,-30,-82.9
1519,1,AUTO,STRAIGHT(NO_CTRL),364,294,-1,31,0.9,-31,-82.9
1537,1,AUTO,STRAIGHT(NO_CTRL),364,294,-1,31,0.9,-31,-82.9
1555,1,AUTO,STRAIGHT(NO_CTRL),364,295,-1,32,0.9,-32,-82.9
1571,1,AUTO,STRAIGHT(NO_CTRL),364,295,-1,32,0.9,-32,-82.9
1587,1,AUTO,STRAIGHT(NO_CTRL),363,296,-2,33,0,-33.1,-81.1
1604,1,AUTO,STRAIGHT(NO_CTRL),363,296,-2,33,0,-33.1,-81.1
1621,1,AUTO,STRAIGHT(NO_CTRL),363,297,-2,34,0.1,-34.1,-83.1
1636,1,AUTO,STRAIGHT(NO_CTRL),363,297,-2,34,0.1,-34.1,-83.1
