Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C3, C6, C8",0603,6,0.1uF,
"C12, C13, C14, C15, C2, C4",0603,6,10uF,
D1,0603,1,ACT,
D2,0603,1,IO2,
"J1, J2",KF128-4P,2,Conn_01x04,
J3,XCL103,1,Conn_01x03,
J4,CONN_S2B-XH-A-1LFSN_JST,1,Conn_01x02,
"R1, R2",0603,2,10k,
"R5, R6",0603,2,1k,
SW1,OS102011MA1QN1_CNK,1,SW_SPDT,
"U1, U2",SOT-23-6,2,MCP4725xxx-xCH,
"U3, U4",SSOP-24_5.3x8.2mm_P0.65mm,2,TB6612FNG,
U5,XiaoEsp32C6,1,~,
