Time(ms),Mode,TargetInput,ActualCommand,BackX,BackY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
20,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
39,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
57,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
72,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
91,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
109,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
129,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
147,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
165,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
182,1,AUTO,STRAIGHT(NO_CTRL),361,314,1,0,1,0,-93.6
199,1,AUTO,STRAIGHT(NO_CTRL),361,314,1,0,1,0,-93.6
219,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
237,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
254,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
271,1,AUTO,STRAIGHT(NO_CTRL),360,314,0,0,0,0,-91.8
289,1,AUTO,STRAIGHT(NO_CTRL),360,313,0,-1,0,1,-91.8
307,1,AUTO,STRAIGHT(NO_CTRL),360,313,0,-1,0,1,-91.8
326,1,AUTO,STRAIGHT(NO_CTRL),359,313,-1,-1,-1,1,-91.8
343,1,AUTO,STRAIGHT(NO_CTRL),359,313,-1,-1,-1,1,-91.8
361,1,AUTO,STRAIGHT(NO_CTRL),359,313,-1,-1,-1,1,-93.6
378,1,AUTO,STRAIGHT(NO_CTRL),358,313,-2,-1,-2,1.1,-91.8
394,1,AUTO,STRAIGHT(NO_CTRL),358,313,-2,-1,-2,1.1,-91.8
427,1,AUTO,STRAIGHT(NO_CTRL),358,313,-2,-1,-2,1.1,-93.6
444,1,AUTO,STRAIGHT(NO_CTRL),357,313,-3,-1,-3,1.1,-91.8
461,1,AUTO,STRAIGHT(NO_CTRL),357,313,-3,-1,-3,1.1,-91.8
479,1,AUTO,STRAIGHT(NO_CTRL),356,312,-4,-2,-3.9,2.1,-91.8
496,1,AUTO,STRAIGHT(NO_CTRL),356,312,-4,-2,-3.9,2.1,-91.8
513,1,AUTO,STRAIGHT(NO_CTRL),356,312,-4,-2,-3.9,2.1,-91.8
532,1,AUTO,STRAIGHT(NO_CTRL),356,312,-4,-2,-3.9,2.1,-91.8
553,1,AUTO,STRAIGHT(NO_CTRL),355,312,-5,-2,-4.9,2.2,-91.8
569,1,AUTO,STRAIGHT(NO_CTRL),355,312,-5,-2,-4.9,2.2,-91.8
587,1,AUTO,STRAIGHT(NO_CTRL),355,312,-5,-2,-4.9,2.2,-91.8
604,1,AUTO,STRAIGHT(NO_CTRL),355,312,-5,-2,-4.9,2.2,-93.6
621,1,AUTO,STRAIGHT(NO_CTRL),355,312,-5,-2,-4.9,2.2,-93.6
639,1,AUTO,STRAIGHT(NO_CTRL),355,312,-5,-2,-4.9,2.2,-93.6
658,1,AUTO,STRAIGHT(NO_CTRL),354,312,-6,-2,-5.9,2.2,-91.7
682,1,AUTO,STRAIGHT(NO_CTRL),354,312,-6,-2,-5.9,2.2,-91.7
701,1,AUTO,STRAIGHT(NO_CTRL),354,311,-6,-3,-5.9,3.2,-91.8
719,1,AUTO,STRAIGHT(NO_CTRL),354,311,-6,-3,-5.9,3.2,-91.8
737,1,AUTO,STRAIGHT(NO_CTRL),354,311,-6,-3,-5.9,3.2,-91.8
755,1,AUTO,STRAIGHT(NO_CTRL),354,311,-6,-3,-5.9,3.2,-91.8
772,1,AUTO,STRAIGHT(NO_CTRL),354,311,-6,-3,-5.9,3.2,-91.8
791,1,AUTO,STRAIGHT(NO_CTRL),353,310,-7,-4,-6.9,4.2,-91.8
808,1,AUTO,STRAIGHT(NO_CTRL),353,310,-7,-4,-6.9,4.2,-91.8
827,1,AUTO,STRAIGHT(NO_CTRL),352,310,-8,-4,-7.9,4.2,-90
844,1,AUTO,STRAIGHT(NO_CTRL),352,310,-8,-4,-7.9,4.2,-91.8
861,1,AUTO,STRAIGHT(NO_CTRL),352,310,-8,-4,-7.9,4.2,-91.8
878,1,AUTO,STRAIGHT(NO_CTRL),352,310,-8,-4,-7.9,4.2,-91.8
895,1,AUTO,STRAIGHT(NO_CTRL),352,310,-8,-4,-7.9,4.2,-91.8
914,1,AUTO,STRAIGHT(NO_CTRL),351,309,-9,-5,-8.8,5.3,-90
933,1,AUTO,STRAIGHT(NO_CTRL),351,309,-9,-5,-8.8,5.3,-90
961,1,AUTO,STRAIGHT(NO_CTRL),351,309,-9,-5,-8.8,5.3,-90
977,1,AUTO,STRAIGHT(NO_CTRL),351,309,-9,-5,-8.8,5.3,-90
994,1,AUTO,STRAIGHT(NO_CTRL),351,309,-9,-5,-8.8,5.3,-90
1012,1,AUTO,STRAIGHT(NO_CTRL),350,308,-10,-6,-9.8,6.3,-90
1027,1,AUTO,STRAIGHT(NO_CTRL),350,308,-10,-6,-9.8,6.3,-90
1043,1,AUTO,STRAIGHT(NO_CTRL),350,308,-10,-6,-9.8,6.3,-90
1062,1,AUTO,STRAIGHT(NO_CTRL),350,308,-10,-6,-9.8,6.3,-90
1079,1,AUTO,STRAIGHT(NO_CTRL),350,308,-10,-6,-9.8,6.3,-90
1098,1,AUTO,STRAIGHT(NO_CTRL),350,308,-10,-6,-9.8,6.3,-90
1115,1,AUTO,STRAIGHT(NO_CTRL),350,307,-10,-7,-9.8,7.3,-90
1131,1,AUTO,STRAIGHT(NO_CTRL),350,307,-10,-7,-9.8,7.3,-90
1148,1,AUTO,STRAIGHT(NO_CTRL),349,307,-11,-7,-10.8,7.3,-88.2
1168,1,AUTO,STRAIGHT(NO_CTRL),349,307,-11,-7,-10.8,7.3,-88.2
1187,1,AUTO,STRAIGHT(NO_CTRL),349,306,-11,-8,-10.7,8.3,-90
1204,1,AUTO,STRAIGHT(NO_CTRL),349,306,-11,-8,-10.7,8.3,-90
1221,1,AUTO,STRAIGHT(NO_CTRL),349,306,-11,-8,-10.7,8.3,-90
1238,1,AUTO,STRAIGHT(NO_CTRL),349,306,-11,-8,-10.7,8.3,-90
1256,1,AUTO,STRAIGHT(NO_CTRL),349,305,-11,-9,-10.7,9.3,-90
1274,1,AUTO,STRAIGHT(NO_CTRL),348,305,-12,-9,-11.7,9.4,-88.2
1292,1,AUTO,STRAIGHT(NO_CTRL),348,305,-12,-9,-11.7,9.4,-88.2
1310,1,AUTO,STRAIGHT(NO_CTRL),348,305,-12,-9,-11.7,9.4,-88.2
1327,1,AUTO,STRAIGHT(NO_CTRL),348,305,-12,-9,-11.7,9.4,-88.2
1344,1,AUTO,STRAIGHT(NO_CTRL),348,305,-12,-9,-11.7,9.4,-90
1362,1,AUTO,STRAIGHT(NO_CTRL),348,305,-12,-9,-11.7,9.4,-90
1379,1,AUTO,STRAIGHT(NO_CTRL),348,304,-12,-10,-11.7,10.4,-90
