Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-96.3
15,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-96.3
30,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-96.3
46,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-96.3
61,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-94.2
77,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-94.2
94,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-94.2
110,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-94.2
128,1,AUTO,STRAIGHT(NO_CTRL),295,286,-1,0,-1,0.1,-94.4
143,1,AUTO,STRAIGHT(NO_CTRL),295,286,-1,0,-1,0.1,-94.4
161,1,AUTO,STRAIGHT(NO_CTRL),295,286,-1,0,-1,0.1,-94.4
176,1,AUTO,STRAIGHT(NO_CTRL),295,286,-1,0,-1,0.1,-94.4
194,1,AUTO,STRAIGHT(NO_CTRL),295,286,-1,0,-1,0.1,-94.4
210,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-96.3
228,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-96.3
243,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-96.3
261,1,AUTO,STRAIGHT(NO_CTRL),296,286,0,0,0,0,-96.3
278,1,AUTO,STRAIGHT(NO_CTRL),295,286,-1,0,-1,0.1,-94.4
293,1,AUTO,STRAIGHT(NO_CTRL),295,286,-1,0,-1,0.1,-94.4
311,1,AUTO,STRAIGHT(NO_CTRL),295,286,-1,0,-1,0.1,-94.4
326,1,AUTO,STRAIGHT(NO_CTRL),295,286,-1,0,-1,0.1,-94.4
345,1,AUTO,STRAIGHT(NO_CTRL),295,288,-1,2,-1.2,-1.9,-94.4
360,1,AUTO,STRAIGHT(NO_CTRL),295,288,-1,2,-1.2,-1.9,-94.4
378,1,AUTO,STRAIGHT(NO_CTRL),295,288,-1,2,-1.2,-1.9,-94.4
401,1,AUTO,STRAIGHT(NO_CTRL),295,289,-1,3,-1.3,-2.9,-96.6
436,1,AUTO,STRAIGHT(NO_CTRL),295,289,-1,3,-1.3,-2.9,-96.6
466,1,AUTO,STRAIGHT(NO_CTRL),295,289,-1,3,-1.3,-2.9,-96.6
485,1,AUTO,STRAIGHT(NO_CTRL),294,291,-2,5,-2.5,-4.7,-96.6
506,1,AUTO,STRAIGHT(NO_CTRL),294,291,-2,5,-2.5,-4.7,-96.6
527,1,AUTO,STRAIGHT(NO_CTRL),294,292,-2,6,-2.7,-5.7,-96.6
542,1,AUTO,STRAIGHT(NO_CTRL),294,292,-2,6,-2.7,-5.7,-96.6
557,1,AUTO,STRAIGHT(NO_CTRL),294,292,-2,6,-2.7,-5.7,-96.6
572,1,AUTO,STRAIGHT(NO_CTRL),294,292,-2,6,-2.7,-5.7,-96.6
587,1,AUTO,STRAIGHT(NO_CTRL),294,292,-2,6,-2.7,-5.7,-96.6
602,1,AUTO,STRAIGHT(NO_CTRL),292,293,-4,7,-4.7,-6.5,-96.8
618,1,AUTO,STRAIGHT(NO_CTRL),292,293,-4,7,-4.7,-6.5,-96.8
634,1,AUTO,STRAIGHT(NO_CTRL),292,293,-4,7,-4.7,-6.5,-96.8
650,1,AUTO,STRAIGHT(NO_CTRL),292,293,-4,7,-4.7,-6.5,-96.8
667,1,AUTO,STRAIGHT(NO_CTRL),292,293,-4,7,-4.7,-6.5,-96.8
