Run,Time(sec),Distance(px),Speed(px/s),FinalX,FinalY,AngleDev(deg),File
Run 1,5.85,48.9,8.35,31,-24,-37.75,log_1765694584496.csv
Run 2,4.56,39.3,8.62,10,-20,26.57,log_1765694642738.csv
Run 3,3.48,20.1,5.77,3,-12,14.04,log_1765694688067.csv
Run 4,3.76,15.0,3.99,7,-8,41.19,log_1765694704779.csv
Run 5,3.63,11.8,3.26,5,-6,39.81,log_1765694739071.csv
