Run,Time(sec),Distance(px),Speed(px/s),FinalX,FinalY,AngleDev(deg),File
Run 1,4.85,73.7,15.17,-53,45,-40.33,log_1765686671465.csv
Run 2,5.56,57.7,10.37,4,42,-5.44,log_1765686689219.csv
Run 3,3.95,51.9,13.13,19,42,-24.34,log_1765686702055.csv
Run 4,4.14,60.9,14.71,-24,32,36.87,log_1765686713064.csv
Run 5,3.56,41.3,11.6,8,36,-12.53,log_1765686723315.csv
