Run,Time(sec),Distance(mm),Speed(mm/s),FinalX(mm),FinalY(mm),TrajAngle(deg),Error(deg),File
Run 1,2.997,19.423,6.481,-12.904,-0.068,90.302,0.302,log_1765986089732.csv
Run 2,2.994,10.456,3.492,-5.603,-1.902,108.747,18.747,log_1765986154720.csv
Run 3,2.982,11.078,3.715,-8.524,-0.102,90.685,0.685,log_1765986166824.csv
Run 4,2.984,12.891,4.32,-8.388,-1.902,102.774,12.774,log_1765986177495.csv
Run 5,2.996,10.63,3.548,-8.32,-1.63,101.085,11.085,log_1765986200277.csv
