Run,Time(sec),Distance(px),Speed(px/s),FinalX,FinalY,AngleDev(deg),File
Run 1,3.51,31.8,9.07,5,-24,11.77,compare_log_1765683331906.csv
Run 2,3.48,18.8,5.4,8,-12,33.69,compare_log_1765683476249.csv
Run 3,3.5,14.0,3.99,-1,-13,-4.4,compare_log_1765683574098.csv
Run 4,3.48,9.0,2.58,0,-9,0.0,compare_log_1765683625802.csv
Run 5,3.48,16.8,4.84,9,-7,-37.87,compare_log_1765683685827.csv
