Run,Time(sec),Distance(px),Speed(px/s),FinalX,FinalY,AngleDev(deg),File
Run 1,3.41,57.5,16.89,-44,-19,23.36,log_1765688484102.csv
Run 2,3.39,66.7,19.65,-43,-22,27.1,log_1765688553453.csv
Run 3,3.52,68.9,19.57,-27,9,-18.43,log_1765688580123.csv
Run 4,3.43,81.0,23.64,-41,8,-11.04,log_1765688595507.csv
Run 5,3.4,71.3,20.99,-58,18,-17.24,log_1765688606313.csv
