Run,Time(sec),Distance(px),Speed(px/s),FinalX,FinalY,AngleDev(deg),File
Run 1,3.6,33.8,9.39,-7,26,15.07,log_1765694796021.csv
Run 2,3.45,33.6,9.72,-15,25,30.96,log_1765694826767.csv
Run 3,3.44,51.3,14.92,-28,36,37.87,log_1765694840948.csv
Run 4,3.73,54.9,14.7,-22,40,28.81,log_1765694914127.csv
Run 5,3.8,41.3,10.86,2,37,-3.09,log_1765694927947.csv
