Run,Time(sec),Distance(mm),Speed(mm/s),FinalX(mm),FinalY(mm),AngleDev(deg),File
Run 1,2.99,16.1,5.4,-13.9,-5.9,17.4,log_1765891125272.csv
Run 2,3.0,16.8,5.6,-13.3,-1.7,14.7,log_1765891140503.csv
Run 3,2.98,7.1,2.4,-4.4,-2.2,22.5,log_1765891156035.csv
Run 4,2.99,12.0,4.0,-8.1,-6.0,6.1,log_1765891170870.csv
Run 5,2.99,12.5,4.2,-7.8,-7.8,8.7,log_1765891185368.csv
