Run,Time(sec),Distance(px),Speed(px/s),FinalX,FinalY,AngleDev(deg),File
Run 1,3.49,146.2,41.88,109,-5,-2.63,log_1765688341290.csv
Run 2,3.46,111.3,32.21,91,44,25.8,log_1765688355409.csv
Run 3,3.43,86.6,25.26,24,75,-17.74,log_1765688373851.csv
Run 4,3.49,95.2,27.3,11,89,-7.05,log_1765688387388.csv
Run 5,3.52,157.6,44.76,131,-24,-10.38,log_1765688420749.csv
