Run,Time(sec),Distance(mm),Speed(mm/s),FinalX(mm),FinalY(mm),AngleDev(deg),File
Run 1,3.0,14.2,4.7,-11.6,5.8,8.7,log_1765892121164.csv
Run 2,3.0,11.7,3.9,-6.9,8.4,-6.1,log_1765892138536.csv
Run 3,3.0,8.7,2.9,-6.0,0.9,-8.8,log_1765892163546.csv
Run 4,2.99,30.6,10.2,-13.4,3.4,-13.5,log_1765892172633.csv
Run 5,3.0,16.5,5.5,-9.3,12.3,-8.3,log_1765892192147.csv
