Run,Time(sec),Distance(px),Speed(px/s),FinalX,FinalY,AngleDev(deg),File
Run 1,3.88,37.6,9.68,22,-20,-42.27,log_1765687126153.csv
Run 2,4.2,61.2,14.58,42,-35,-39.81,log_1765687134734.csv
Run 3,4.25,14.4,3.39,3,-10,16.7,log_1765687156468.csv
Run 4,5.1,20.5,4.02,-3,-13,-12.99,log_1765687167324.csv
Run 5,3.62,20.8,5.76,2,-16,7.13,log_1765687182814.csv
