Run,Time(sec),Distance(mm),Speed(mm/s),FinalX(mm),FinalY(mm),AngleDev(deg),File
Run 1,2.99,13.4,4.5,3.1,-9.3,0.0,log_1765984948789.csv
Run 2,3.0,12.3,4.1,2.4,-8.0,-12.8,log_1765984971871.csv
Run 3,2.99,10.9,3.6,-3.0,-8.4,14.6,log_1765985010589.csv
Run 4,2.98,14.8,5.0,4.1,-12.5,7.4,log_1765985019236.csv
Run 5,2.99,17.1,5.7,-4.1,-14.0,-14.2,log_1765985030717.csv
