Run,Time(sec),Distance(px),Speed(px/s),FinalX,FinalY,AngleDev(deg),File
Run 1,3.6,120.2,33.35,105,54,27.22,log_1765689737900.csv
Run 2,3.6,50.2,13.94,8,23,-19.18,log_1765689896697.csv
Run 3,3.47,86.4,24.87,67,46,34.47,log_1765689912301.csv
Run 4,3.88,111.7,28.82,89,62,34.86,log_1765689926390.csv
Run 5,3.5,99.9,28.51,72,64,41.63,log_1765689965396.csv
