Run,Time(sec),Distance(mm),Speed(mm/s),FinalX(mm),FinalY(mm),AngleDev(deg),File
Run 1,3.0,15.2,5.1,-9.5,8.8,-1.9,log_1765984780468.csv
Run 2,2.99,15.7,5.2,-8.9,9.0,5.0,log_1765984809164.csv
Run 3,2.99,20.0,6.7,-17.4,2.0,-14.2,log_1765984821623.csv
Run 4,2.99,7.9,2.7,-6.0,2.5,12.5,log_1765984842734.csv
Run 5,2.99,16.8,5.6,-11.7,10.1,13.2,log_1765984880147.csv
