Run,Time(sec),Distance(mm),Speed(mm/s),FinalX(mm),FinalY(mm),TrajAngle(deg),Error(deg),File
Run 1,2.987,12.358,4.137,8.32,-1.596,-100.86,-10.86,log_1765986013552.csv
Run 2,2.992,5.45,1.822,2.751,-0.509,-100.491,-10.491,log_1765986030673.csv
Run 3,2.989,5.715,1.912,3.803,-0.238,-93.576,-3.576,log_1765986047636.csv
Run 4,2.99,6.461,2.161,6.113,-0.17,-91.591,-1.591,log_1765986063920.csv
Run 5,2.986,8.078,2.705,6.486,-0.475,-94.192,-4.192,log_1765986073376.csv
