Run,Time(sec),Distance(mm),Speed(mm/s),FinalX(mm),FinalY(mm),AngleDev(deg),File
Run 1,2.96,8.8,3.0,-4.6,5.2,15.5,log_1765984208803.csv
Run 2,3.0,5.7,1.9,-1.9,1.4,5.2,log_1765984225688.csv
Run 3,2.99,6.6,2.2,0.6,5.1,3.3,log_1765984241034.csv
Run 4,2.99,6.8,2.3,0.9,0.9,-1.8,log_1765984256639.csv
Run 5,3.0,8.6,2.9,3.4,4.5,6.8,log_1765984362623.csv
