Run,Time(sec),Distance(px),Speed(px/s),FinalX,FinalY,AngleDev(deg),File
Run 1,3.42,42.2,12.33,24,-25,43.83,log_1765686812980.csv
Run 2,3.67,57.2,15.59,47,-23,-26.08,log_1765686836131.csv
Run 3,4.12,39.2,9.52,30,-18,-30.96,log_1765686857194.csv
Run 4,3.68,120.8,32.8,42,-11,-14.68,log_1765686865495.csv
Run 5,3.63,17.4,4.79,1,-11,5.19,log_1765686880977.csv
