Run,Time(sec),Distance(mm),Speed(mm/s),FinalX(mm),FinalY(mm),AngleDev(deg),File
Run 1,3.0,13.0,4.4,-1.0,-10.6,-7.7,log_1765891592026.csv
Run 2,3.0,8.1,2.7,0.5,-7.0,13.0,log_1765891620373.csv
Run 3,3.0,7.7,2.6,-4.6,-3.1,42.4,log_1765891698395.csv
Run 4,2.99,21.3,7.1,-19.2,-5.2,62.5,log_1765891712459.csv
Run 5,2.99,11.5,3.8,3.6,-7.8,10.4,log_1765891801633.csv
