Run,Time(sec),Distance(mm),Speed(mm/s),FinalX(mm),FinalY(mm),AngleDev(deg),File
Run 1,3.0,11.8,3.9,-2.8,-8.3,-5.3,log_1765984628823.csv
Run 2,2.99,10.3,3.4,4.3,-6.5,-5.2,log_1765984644626.csv
Run 3,2.99,13.4,4.5,-6.3,-9.5,-14.0,log_1765984662896.csv
Run 4,2.98,9.8,3.3,1.5,-5.1,-9.0,log_1765984698645.csv
Run 5,3.0,12.6,4.2,-1.1,-9.9,-12.6,log_1765984711946.csv
