Run,Time(sec),Distance(mm),Speed(mm/s),FinalX(mm),FinalY(mm),TrajAngle(deg),Error(deg),File
Run 1,2.994,25.154,8.401,-4.584,-20.884,167.619,-12.381,log_1765987181438.csv
Run 2,2.986,27.822,9.318,1.834,-24.722,-175.758,4.242,log_1765987192862.csv
Run 3,2.987,21.256,7.116,-1.528,-16.708,174.774,-5.226,log_1765987218455.csv
Run 4,2.99,22.145,7.406,-8.49,-15.96,151.991,-28.009,log_1765987230409.csv
Run 5,2.983,26.92,9.024,-2.343,-22.922,174.163,-5.837,log_1765987253003.csv
