Run,Time(sec),Distance(px),Speed(px/s),FinalLocX,FinalLocY,AngleDev(deg),File
Run 1,2.99,30.7,10.25,-6.8,22.8,21.6,log_1765887789915.csv
Run 2,2.98,33.8,11.34,10.3,6.6,8.2,log_1765887805977.csv
Run 3,3.0,21.0,7.01,0.3,10.0,3.9,log_1765887830813.csv
Run 4,3.0,30.1,10.03,6.9,8.3,12.2,log_1765887843960.csv
Run 5,2.99,33.1,11.05,23.0,12.3,8.4,log_1765888147133.csv
