Time(ms),Input,PixelX,PixelY,Angle(deg)
19,▲,327,301,undefined
40,▲,327,301,undefined
58,▲,327,301,undefined
77,▲,327,301,undefined
95,▲,327,301,undefined
115,▲,327,301,undefined
131,▲,327,301,undefined
146,▲,327,301,undefined
163,▲,327,301,undefined
185,▲,326,301,undefined
201,▲,326,301,undefined
216,▲,326,301,undefined
233,▲,326,301,undefined
251,▲,326,301,undefined
268,▲,326,301,undefined
295,▲,326,301,undefined
313,▲,325,299,undefined
329,▲,325,299,undefined
346,▲,325,299,undefined
362,▲,323,298,undefined
379,▲,323,298,undefined
394,▲,323,298,undefined
413,▲,323,298,undefined
429,▲,323,298,undefined
445,▲,322,297,undefined
463,▲,322,297,undefined
480,▲,322,297,undefined
500,▲,322,297,undefined
522,▲,321,296,undefined
539,▲,321,296,undefined
561,▲,321,296,undefined
578,▲,320,295,undefined
594,▲,320,295,undefined
613,▲,320,295,undefined
629,▲,320,295,undefined
645,▲,319,294,undefined
662,▲,319,294,undefined
682,▲,319,294,undefined
709,▲,318,293,undefined
724,▲,318,293,undefined
740,▲,318,293,undefined
760,▲,318,293,undefined
777,▲,318,293,undefined
792,▲,317,292,undefined
808,▲,317,292,undefined
825,▲,317,292,undefined
841,▲,317,291,undefined
857,▲,317,291,undefined
872,▲,317,291,undefined
890,▲,317,291,undefined
910,▲,316,290,undefined
927,▲,316,290,undefined
943,▲,316,290,undefined
959,▲,316,290,undefined
978,▲,315,289,undefined
994,▲,315,289,undefined
1012,▲,315,289,undefined
1030,▲,315,289,undefined
1052,▲,314,287,undefined
1067,▲,314,287,undefined
1084,▲,314,287,undefined
1103,▲,313,286,undefined
1120,▲,313,286,undefined
1136,▲,313,286,undefined
1154,▲,313,286,undefined
1174,▲,313,286,undefined
1197,▲,312,285,undefined
1214,▲,312,285,undefined
1232,▲,312,285,undefined
1250,▲,311,284,undefined
1265,▲,311,284,undefined
1288,▲,311,284,undefined
1307,▲,311,284,undefined
1327,▲,310,283,undefined
1344,▲,310,283,undefined
1360,▲,310,283,undefined
1376,▲,310,282,undefined
1392,▲,310,282,undefined
1410,▲,310,282,undefined
1429,▲,310,282,undefined
1445,▲,309,281,undefined
1466,▲,309,281,undefined
1485,▲,309,281,undefined
1506,▲,309,280,undefined
1528,▲,309,280,undefined
1545,▲,309,280,undefined
1564,▲,309,280,undefined
1587,▲,308,279,undefined
1604,▲,308,279,undefined
1620,▲,308,279,undefined
1636,▲,308,279,undefined
1654,▲,307,278,undefined
1673,▲,307,278,undefined
1693,▲,307,278,undefined
1712,▲,307,277,undefined
1729,▲,307,277,undefined
1743,▲,307,277,undefined
1771,▲,307,277,undefined
1791,▲,306,276,undefined
1810,▲,306,276,undefined
1826,▲,306,276,undefined
1848,▲,306,275,undefined
1869,▲,306,275,undefined
1884,▲,306,275,undefined
1902,▲,306,274,undefined
1918,▲,306,274,undefined
1933,▲,306,274,undefined
1949,▲,306,274,undefined
1965,▲,306,274,undefined
1982,▲,305,273,undefined
1997,▲,305,273,undefined
2012,▲,305,273,undefined
2030,▲,305,273,undefined
2047,▲,305,272,undefined
2063,▲,305,272,undefined
2078,▲,305,272,undefined
2096,▲,305,272,undefined
2115,▲,304,271,undefined
2131,▲,304,271,undefined
2149,▲,304,271,undefined
2168,▲,304,271,undefined
2186,▲,304,270,undefined
2208,▲,304,270,undefined
2241,▲,304,269,undefined
2257,▲,304,269,undefined
2273,▲,304,269,undefined
2299,▲,304,269,undefined
2322,▲,303,268,undefined
2346,▲,303,268,undefined
2368,▲,303,268,undefined
2387,▲,303,267,undefined
2403,▲,303,267,undefined
2424,▲,303,267,undefined
2442,▲,303,267,undefined
2460,▲,303,266,undefined
2479,▲,303,266,undefined
2495,▲,303,266,undefined
2513,▲,302,265,undefined
2532,▲,302,265,undefined
2550,▲,302,265,undefined
2569,▲,302,265,undefined
2587,▲,302,263,undefined
2604,▲,302,263,undefined
2625,▲,302,263,undefined
2644,▲,302,262,undefined
2660,▲,302,262,undefined
2677,▲,302,262,undefined
2694,▲,302,262,undefined
2711,▲,301,261,undefined
2726,▲,301,261,undefined
2742,▲,301,261,undefined
2761,▲,301,261,undefined
2779,▲,301,260,undefined
2795,▲,301,260,undefined
2825,▲,301,260,undefined
2844,▲,301,260,undefined
2860,▲,300,259,undefined
2875,▲,300,259,undefined
2895,▲,300,259,undefined
2914,▲,300,258,undefined
2934,▲,300,258,undefined
2953,▲,300,258,undefined
2971,▲,300,257,undefined
2987,▲,300,257,undefined
3003,▲,300,257,undefined
