Time(ms),Input,PixelX,PixelY,Angle(deg)
18,▲,287,206,undefined
36,▲,287,206,undefined
54,▲,287,206,undefined
76,▲,287,206,undefined
99,▲,287,206,undefined
122,▲,287,206,undefined
140,▲,287,206,undefined
156,▲,287,206,undefined
177,▲,287,206,undefined
195,▲,287,206,undefined
210,▲,287,206,undefined
227,▲,287,206,undefined
244,▲,286,206,undefined
262,▲,286,206,undefined
277,▲,286,206,undefined
293,▲,286,206,undefined
310,▲,286,204,undefined
327,▲,286,204,undefined
343,▲,286,204,undefined
362,▲,286,204,undefined
380,▲,285,204,undefined
396,▲,285,204,undefined
411,▲,285,204,undefined
429,▲,285,204,undefined
448,▲,284,203,undefined
464,▲,284,203,undefined
481,▲,284,203,undefined
503,▲,284,202,undefined
538,▲,284,202,undefined
571,▲,284,202,undefined
588,▲,283,201,undefined
609,▲,283,201,undefined
625,▲,283,201,undefined
642,▲,283,200,undefined
659,▲,283,200,undefined
677,▲,283,200,undefined
697,▲,283,200,undefined
716,▲,282,198,undefined
732,▲,282,198,undefined
749,▲,282,198,undefined
769,▲,282,197,undefined
786,▲,282,197,undefined
802,▲,282,197,undefined
818,▲,282,197,undefined
834,▲,281,196,undefined
857,▲,281,196,undefined
873,▲,281,196,undefined
893,▲,281,196,undefined
912,▲,281,196,undefined
930,▲,281,196,undefined
947,▲,281,196,undefined
966,▲,281,196,undefined
982,▲,281,195,undefined
1000,▲,281,195,undefined
1026,▲,281,195,undefined
1050,▲,280,194,undefined
1069,▲,280,194,undefined
1084,▲,280,194,undefined
1100,▲,280,194,undefined
1116,▲,279,193,undefined
1134,▲,279,193,undefined
1153,▲,279,193,undefined
1174,▲,279,192,undefined
1193,▲,279,192,undefined
1212,▲,279,192,undefined
1228,▲,279,192,undefined
1245,▲,279,191,undefined
1264,▲,279,191,undefined
1284,▲,279,191,undefined
1303,▲,278,190,undefined
1320,▲,278,190,undefined
1339,▲,278,190,undefined
1360,▲,278,190,undefined
1379,▲,278,189,undefined
1395,▲,278,189,undefined
1412,▲,278,189,undefined
1428,▲,278,189,undefined
1445,▲,277,188,undefined
1461,▲,277,188,undefined
1479,▲,277,188,undefined
1500,▲,277,188,undefined
1519,▲,277,187,undefined
1536,▲,277,187,undefined
1555,▲,277,187,undefined
1580,▲,276,186,undefined
1597,▲,276,186,undefined
1613,▲,276,186,undefined
1628,▲,276,186,undefined
1645,▲,276,185,undefined
1662,▲,276,185,undefined
1688,▲,276,185,undefined
1706,▲,275,184,undefined
1722,▲,275,184,undefined
1740,▲,275,184,undefined
1755,▲,275,184,undefined
1773,▲,275,184,undefined
1799,▲,275,183,undefined
1819,▲,275,183,undefined
1836,▲,275,183,undefined
1853,▲,274,182,undefined
1869,▲,274,182,undefined
1889,▲,274,182,undefined
1910,▲,274,181,undefined
1928,▲,274,181,undefined
1946,▲,274,181,undefined
1963,▲,274,181,undefined
1981,▲,273,180,undefined
1998,▲,273,180,undefined
2014,▲,273,180,undefined
2032,▲,273,179,undefined
2050,▲,273,179,undefined
2067,▲,273,179,undefined
2086,▲,273,179,undefined
2105,▲,272,178,undefined
2124,▲,272,178,undefined
2140,▲,272,178,undefined
2166,▲,272,178,undefined
2187,▲,272,177,undefined
2205,▲,272,177,undefined
2223,▲,272,177,undefined
2239,▲,271,176,undefined
2255,▲,271,176,undefined
2273,▲,271,176,undefined
2290,▲,271,176,undefined
2306,▲,271,175,undefined
2322,▲,271,175,undefined
2340,▲,271,175,undefined
2367,▲,271,175,undefined
2386,▲,270,174,undefined
2403,▲,270,174,undefined
2429,▲,270,174,undefined
2451,▲,269,173,undefined
2468,▲,269,173,undefined
2489,▲,269,173,undefined
2508,▲,269,172,undefined
2525,▲,269,172,undefined
2546,▲,269,172,undefined
2564,▲,269,172,undefined
2581,▲,268,171,undefined
2597,▲,268,171,undefined
2617,▲,268,171,undefined
2642,▲,267,170,undefined
2659,▲,267,170,undefined
2674,▲,267,170,undefined
2695,▲,267,170,undefined
2712,▲,266,169,undefined
2728,▲,266,169,undefined
2743,▲,266,169,undefined
2761,▲,266,169,undefined
2782,▲,266,168,undefined
2802,▲,266,168,undefined
2818,▲,266,168,undefined
2836,▲,265,167,undefined
2857,▲,265,167,undefined
2880,▲,265,167,undefined
2897,▲,264,167,undefined
2915,▲,264,167,undefined
2932,▲,264,167,undefined
2950,▲,264,167,undefined
2969,▲,264,167,undefined
2987,▲,263,166,undefined
3004,▲,263,166,undefined
