Time(ms),Input,PixelX,PixelY,Angle(deg)
16,▲,299,253,undefined
33,▲,299,253,undefined
50,▲,299,253,undefined
68,▲,299,253,undefined
88,▲,299,253,undefined
108,▲,299,253,undefined
124,▲,299,253,undefined
142,▲,299,253,undefined
161,▲,299,253,undefined
178,▲,299,253,undefined
195,▲,299,253,undefined
212,▲,299,253,undefined
230,▲,299,253,undefined
246,▲,299,253,undefined
261,▲,299,253,undefined
278,▲,299,253,undefined
294,▲,298,253,undefined
311,▲,298,253,undefined
326,▲,298,253,undefined
345,▲,298,253,undefined
361,▲,298,252,undefined
378,▲,298,252,undefined
395,▲,298,252,undefined
412,▲,298,252,undefined
434,▲,298,251,undefined
450,▲,298,251,undefined
471,▲,298,251,undefined
487,▲,298,251,undefined
503,▲,298,250,undefined
520,▲,298,250,undefined
539,▲,298,250,undefined
561,▲,298,250,undefined
582,▲,298,249,undefined
601,▲,298,249,undefined
621,▲,298,249,undefined
637,▲,297,248,undefined
654,▲,297,248,undefined
673,▲,297,248,undefined
691,▲,297,247,undefined
708,▲,297,247,undefined
723,▲,297,247,undefined
740,▲,297,247,undefined
758,▲,297,246,undefined
775,▲,297,246,undefined
792,▲,297,246,undefined
809,▲,297,246,undefined
827,▲,297,245,undefined
845,▲,297,245,undefined
864,▲,297,245,undefined
880,▲,297,245,undefined
898,▲,296,244,undefined
915,▲,296,244,undefined
933,▲,296,244,undefined
957,▲,296,242,undefined
974,▲,296,242,undefined
989,▲,296,242,undefined
1007,▲,296,242,undefined
1023,▲,296,241,undefined
1038,▲,296,241,undefined
1053,▲,296,241,undefined
1068,▲,296,241,undefined
1086,▲,296,240,undefined
1101,▲,296,240,undefined
1118,▲,296,240,undefined
1136,▲,296,240,undefined
1154,▲,296,239,undefined
1170,▲,296,239,undefined
1186,▲,296,239,undefined
1203,▲,296,239,undefined
1221,▲,295,238,undefined
1239,▲,295,238,undefined
1256,▲,295,238,undefined
1273,▲,295,238,undefined
1289,▲,295,238,undefined
1306,▲,295,237,undefined
1325,▲,295,237,undefined
1341,▲,295,237,undefined
1358,▲,295,236,undefined
1375,▲,295,236,undefined
1391,▲,295,236,undefined
1409,▲,295,236,undefined
1428,▲,295,235,undefined
1444,▲,295,235,undefined
1460,▲,295,235,undefined
1481,▲,295,235,undefined
1498,▲,295,234,undefined
1518,▲,295,234,undefined
1538,▲,295,234,undefined
1557,▲,295,233,undefined
1574,▲,295,233,undefined
1589,▲,295,233,undefined
1605,▲,295,233,undefined
1621,▲,294,231,undefined
1638,▲,294,231,undefined
1654,▲,294,231,undefined
1670,▲,294,231,undefined
1686,▲,294,231,undefined
1703,▲,294,230,undefined
1719,▲,294,230,undefined
1736,▲,294,230,undefined
1752,▲,294,230,undefined
1770,▲,294,229,undefined
1786,▲,294,229,undefined
1804,▲,294,229,undefined
1824,▲,294,229,undefined
1841,▲,294,228,undefined
1862,▲,294,228,undefined
1878,▲,294,228,undefined
1895,▲,293,227,undefined
1913,▲,293,227,undefined
1936,▲,293,227,undefined
1953,▲,293,226,undefined
1969,▲,293,226,undefined
1988,▲,293,226,undefined
2005,▲,293,226,undefined
2022,▲,293,225,undefined
2041,▲,293,225,undefined
2059,▲,293,225,undefined
2075,▲,293,225,undefined
2092,▲,293,225,undefined
2109,▲,292,224,undefined
2125,▲,292,224,undefined
2142,▲,292,224,undefined
2161,▲,292,223,undefined
2178,▲,292,223,undefined
2196,▲,292,223,undefined
2213,▲,292,223,undefined
2231,▲,292,221,undefined
2250,▲,292,221,undefined
2267,▲,292,221,undefined
2284,▲,292,221,undefined
2301,▲,292,220,undefined
2318,▲,292,220,undefined
2337,▲,292,220,undefined
2354,▲,292,219,undefined
2369,▲,292,219,undefined
2387,▲,292,219,undefined
2403,▲,292,219,undefined
2423,▲,291,218,undefined
2442,▲,291,218,undefined
2458,▲,291,218,undefined
2475,▲,291,218,undefined
2493,▲,291,218,undefined
2510,▲,291,217,undefined
2530,▲,291,217,undefined
2547,▲,291,217,undefined
2564,▲,291,216,undefined
2580,▲,291,216,undefined
2596,▲,291,216,undefined
2613,▲,291,216,undefined
2629,▲,290,215,undefined
2646,▲,290,215,undefined
2662,▲,290,215,undefined
2678,▲,290,215,undefined
2695,▲,290,214,undefined
2711,▲,290,214,undefined
2727,▲,290,214,undefined
2744,▲,290,214,undefined
2763,▲,290,213,undefined
2778,▲,290,213,undefined
2794,▲,290,213,undefined
2812,▲,290,213,undefined
2830,▲,289,212,undefined
2846,▲,289,212,undefined
2861,▲,289,212,undefined
2880,▲,289,212,undefined
2899,▲,289,211,undefined
2920,▲,289,211,undefined
2945,▲,289,211,undefined
2963,▲,289,210,undefined
2981,▲,289,210,undefined
2997,▲,289,210,undefined
3017,▲,289,210,undefined
