Time(ms),Input,PixelX,PixelY,Angle(deg)
16,▲,391,305,undefined
35,▲,391,305,undefined
56,▲,391,305,undefined
78,▲,391,305,undefined
99,▲,391,305,undefined
119,▲,391,305,undefined
137,▲,391,305,undefined
161,▲,391,305,undefined
180,▲,391,305,undefined
198,▲,391,305,undefined
217,▲,391,305,undefined
233,▲,391,305,undefined
251,▲,391,305,undefined
268,▲,391,305,undefined
286,▲,391,305,undefined
303,▲,391,304,undefined
327,▲,391,304,undefined
349,▲,391,304,undefined
369,▲,391,303,undefined
385,▲,391,303,undefined
402,▲,391,303,undefined
422,▲,391,303,undefined
446,▲,391,302,undefined
466,▲,391,302,undefined
485,▲,391,302,undefined
502,▲,390,301,undefined
520,▲,390,301,undefined
537,▲,390,301,undefined
554,▲,390,300,undefined
571,▲,390,300,undefined
589,▲,390,300,undefined
606,▲,390,300,undefined
624,▲,390,300,undefined
643,▲,390,299,undefined
660,▲,390,299,undefined
678,▲,390,299,undefined
695,▲,390,298,undefined
711,▲,390,298,undefined
727,▲,390,298,undefined
744,▲,390,298,undefined
763,▲,390,297,undefined
780,▲,390,297,undefined
797,▲,390,297,undefined
816,▲,390,297,undefined
839,▲,390,296,undefined
858,▲,390,296,undefined
874,▲,390,296,undefined
891,▲,389,295,undefined
906,▲,389,295,undefined
925,▲,389,295,undefined
941,▲,389,295,undefined
958,▲,389,294,undefined
982,▲,389,294,undefined
999,▲,389,294,undefined
1019,▲,389,294,undefined
1036,▲,389,293,undefined
1052,▲,389,293,undefined
1072,▲,389,293,undefined
1098,▲,389,293,undefined
1117,▲,389,292,undefined
1133,▲,389,292,undefined
1149,▲,389,292,undefined
1166,▲,388,291,undefined
1185,▲,388,291,undefined
1205,▲,388,291,undefined
1230,▲,388,290,undefined
1252,▲,388,290,undefined
1274,▲,388,290,undefined
1295,▲,388,289,undefined
1311,▲,388,289,undefined
1327,▲,388,289,undefined
1344,▲,388,289,undefined
1363,▲,388,287,undefined
1379,▲,388,287,undefined
1402,▲,388,287,undefined
1418,▲,388,287,undefined
1434,▲,388,287,undefined
1450,▲,388,287,undefined
1466,▲,388,287,undefined
1484,▲,388,287,undefined
1504,▲,387,285,undefined
1520,▲,387,285,undefined
1539,▲,387,285,undefined
1555,▲,387,285,undefined
1573,▲,387,284,undefined
1593,▲,387,284,undefined
1611,▲,387,284,undefined
1628,▲,387,283,undefined
1645,▲,387,283,undefined
1663,▲,387,283,undefined
1680,▲,387,283,undefined
1702,▲,387,282,undefined
1722,▲,387,282,undefined
1740,▲,387,282,undefined
1757,▲,386,281,undefined
1776,▲,386,281,undefined
1793,▲,386,281,undefined
1808,▲,386,281,undefined
1824,▲,386,281,undefined
1840,▲,386,280,undefined
1856,▲,386,280,undefined
1876,▲,386,280,undefined
1896,▲,385,279,undefined
1916,▲,385,279,undefined
1933,▲,385,279,undefined
1950,▲,385,279,undefined
1967,▲,385,278,undefined
1986,▲,385,278,undefined
2011,▲,385,278,undefined
2028,▲,385,277,undefined
2045,▲,385,277,undefined
2064,▲,385,277,undefined
2086,▲,385,277,undefined
2105,▲,384,277,undefined
2123,▲,384,277,undefined
2144,▲,384,277,undefined
2161,▲,384,275,undefined
2177,▲,384,275,undefined
2196,▲,384,275,undefined
2213,▲,384,275,undefined
2233,▲,384,274,undefined
2257,▲,384,274,undefined
2277,▲,384,274,undefined
2296,▲,384,273,undefined
2312,▲,384,273,undefined
2330,▲,384,273,undefined
2346,▲,384,273,undefined
2365,▲,383,272,undefined
2381,▲,383,272,undefined
2399,▲,383,272,undefined
2418,▲,383,272,undefined
2443,▲,383,271,undefined
2458,▲,383,271,undefined
2474,▲,383,271,undefined
2490,▲,383,270,undefined
2506,▲,383,270,undefined
2522,▲,383,270,undefined
2540,▲,383,270,undefined
2556,▲,382,269,undefined
2573,▲,382,269,undefined
2588,▲,382,269,undefined
2605,▲,382,269,undefined
2623,▲,382,269,undefined
2640,▲,382,268,undefined
2659,▲,382,268,undefined
2677,▲,382,268,undefined
2694,▲,381,267,undefined
2712,▲,381,267,undefined
2728,▲,381,267,undefined
2745,▲,381,267,undefined
2762,▲,381,266,undefined
2779,▲,381,266,undefined
2796,▲,381,266,undefined
2817,▲,381,266,undefined
2834,▲,380,265,undefined
2850,▲,380,265,undefined
2866,▲,380,265,undefined
2881,▲,380,265,undefined
2898,▲,380,264,undefined
2919,▲,380,264,undefined
2940,▲,380,264,undefined
2956,▲,379,263,undefined
2974,▲,379,263,undefined
2990,▲,379,263,undefined
3006,▲,379,263,undefined
3022,▲,379,263,undefined
