Time(ms),Mode,TargetInput,ActualCommand,RawX,RawY,RelX,RelY
35,1,AUTO,STRAIGHT(NO_CTRL),289,255,-1,0
60,1,AUTO,STRAIGHT(NO_CTRL),289,255,-1,0
91,1,AUTO,STRAIGHT(NO_CTRL),289,255,-1,0
116,1,AUTO,STRAIGHT(NO_CTRL),289,255,-1,0
143,1,AUTO,STRAIGHT(NO_CTRL),290,255,0,0
171,1,AUTO,STRAIGHT(NO_CTRL),290,255,0,0
194,1,AUTO,STRAIGHT(NO_CTRL),290,255,0,0
223,1,AUTO,STRAIGHT(NO_CTRL),289,255,-1,0
245,1,AUTO,STRAIGHT(NO_CTRL),289,255,-1,0
275,1,AUTO,STRAIGHT(NO_CTRL),289,255,-1,0
302,1,AUTO,STRAIGHT(NO_CTRL),290,256,0,1
324,1,AUTO,STRAIGHT(NO_CTRL),290,256,0,1
344,1,AUTO,STRAIGHT(NO_CTRL),290,256,0,1
377,1,AUTO,STRAIGHT(NO_CTRL),290,256,0,1
419,1,AUTO,STRAIGHT(NO_CTRL),291,255,1,0
442,1,AUTO,STRAIGHT(NO_CTRL),291,255,1,0
474,1,AUTO,STRAIGHT(NO_CTRL),291,255,1,0
503,1,AUTO,STRAIGHT(NO_CTRL),291,254,1,-1
526,1,AUTO,STRAIGHT(NO_CTRL),291,254,1,-1
547,1,AUTO,STRAIGHT(NO_CTRL),291,254,1,-1
573,1,AUTO,STRAIGHT(NO_CTRL),291,254,1,-1
594,1,AUTO,STRAIGHT(NO_CTRL),291,254,1,-1
629,1,AUTO,STRAIGHT(NO_CTRL),292,253,2,-2
659,1,AUTO,STRAIGHT(NO_CTRL),292,253,2,-2
694,1,AUTO,STRAIGHT(NO_CTRL),292,253,2,-2
727,1,AUTO,STRAIGHT(NO_CTRL),292,253,2,-2
760,1,AUTO,STRAIGHT(NO_CTRL),293,252,3,-3
807,1,AUTO,STRAIGHT(NO_CTRL),293,252,3,-3
840,1,AUTO,STRAIGHT(NO_CTRL),294,252,4,-3
867,1,AUTO,STRAIGHT(NO_CTRL),294,252,4,-3
896,1,AUTO,STRAIGHT(NO_CTRL),295,251,5,-4
921,1,AUTO,STRAIGHT(NO_CTRL),295,251,5,-4
945,1,AUTO,STRAIGHT(NO_CTRL),297,251,7,-4
973,1,AUTO,STRAIGHT(NO_CTRL),297,251,7,-4
996,1,AUTO,STRAIGHT(NO_CTRL),297,251,7,-4
1029,1,AUTO,STRAIGHT(NO_CTRL),298,250,8,-5
1065,1,AUTO,STRAIGHT(NO_CTRL),298,250,8,-5
1097,1,AUTO,STRAIGHT(NO_CTRL),298,250,8,-5
1126,1,AUTO,STRAIGHT(NO_CTRL),298,250,8,-5
1162,1,AUTO,STRAIGHT(NO_CTRL),299,249,9,-6
1197,1,AUTO,STRAIGHT(NO_CTRL),299,249,9,-6
1236,1,AUTO,STRAIGHT(NO_CTRL),300,249,10,-6
1263,1,AUTO,STRAIGHT(NO_CTRL),300,249,10,-6
1295,1,AUTO,STRAIGHT(NO_CTRL),301,249,11,-6
1336,1,AUTO,STRAIGHT(NO_CTRL),301,249,11,-6
1362,1,AUTO,STRAIGHT(NO_CTRL),302,248,12,-7
1392,1,AUTO,STRAIGHT(NO_CTRL),302,248,12,-7
1436,1,AUTO,STRAIGHT(NO_CTRL),302,248,12,-7
1475,1,AUTO,STRAIGHT(NO_CTRL),302,248,12,-7
1498,1,AUTO,STRAIGHT(NO_CTRL),303,247,13,-8
1524,1,AUTO,STRAIGHT(NO_CTRL),303,247,13,-8
1547,1,AUTO,STRAIGHT(NO_CTRL),303,247,13,-8
1575,1,AUTO,STRAIGHT(NO_CTRL),303,247,13,-8
1599,1,AUTO,STRAIGHT(NO_CTRL),303,247,13,-8
1620,1,AUTO,STRAIGHT(NO_CTRL),304,247,14,-8
1638,1,AUTO,STRAIGHT(NO_CTRL),304,247,14,-8
1658,1,AUTO,STRAIGHT(NO_CTRL),304,247,14,-8
1678,1,AUTO,STRAIGHT(NO_CTRL),304,246,14,-9
1704,1,AUTO,STRAIGHT(NO_CTRL),304,246,14,-9
1725,1,AUTO,STRAIGHT(NO_CTRL),304,246,14,-9
1745,1,AUTO,STRAIGHT(NO_CTRL),304,246,14,-9
1771,1,AUTO,STRAIGHT(NO_CTRL),304,246,14,-9
1794,1,AUTO,STRAIGHT(NO_CTRL),304,246,14,-9
1829,1,AUTO,STRAIGHT(NO_CTRL),304,246,14,-9
1858,1,AUTO,STRAIGHT(NO_CTRL),304,246,14,-9
1879,1,AUTO,STRAIGHT(NO_CTRL),305,245,15,-10
1904,1,AUTO,STRAIGHT(NO_CTRL),305,245,15,-10
1928,1,AUTO,STRAIGHT(NO_CTRL),305,245,15,-10
1955,1,AUTO,STRAIGHT(NO_CTRL),305,245,15,-10
1981,1,AUTO,STRAIGHT(NO_CTRL),305,245,15,-10
2022,1,AUTO,STRAIGHT(NO_CTRL),306,244,16,-11
2042,1,AUTO,STRAIGHT(NO_CTRL),306,244,16,-11
2061,1,AUTO,STRAIGHT(NO_CTRL),306,244,16,-11
2095,1,AUTO,STRAIGHT(NO_CTRL),307,243,17,-12
2125,1,AUTO,STRAIGHT(NO_CTRL),307,243,17,-12
2145,1,AUTO,STRAIGHT(NO_CTRL),308,243,18,-12
2172,1,AUTO,STRAIGHT(NO_CTRL),308,243,18,-12
2192,1,AUTO,STRAIGHT(NO_CTRL),308,243,18,-12
2214,1,AUTO,STRAIGHT(NO_CTRL),309,242,19,-13
2236,1,AUTO,STRAIGHT(NO_CTRL),309,242,19,-13
2256,1,AUTO,STRAIGHT(NO_CTRL),309,242,19,-13
2278,1,AUTO,STRAIGHT(NO_CTRL),310,242,20,-13
2304,1,AUTO,STRAIGHT(NO_CTRL),310,242,20,-13
2326,1,AUTO,STRAIGHT(NO_CTRL),310,242,20,-13
2349,1,AUTO,STRAIGHT(NO_CTRL),310,241,20,-14
2372,1,AUTO,STRAIGHT(NO_CTRL),310,241,20,-14
2393,1,AUTO,STRAIGHT(NO_CTRL),310,241,20,-14
2415,1,AUTO,STRAIGHT(NO_CTRL),311,241,21,-14
2437,1,AUTO,STRAIGHT(NO_CTRL),311,241,21,-14
2459,1,AUTO,STRAIGHT(NO_CTRL),311,241,21,-14
2483,1,AUTO,STRAIGHT(NO_CTRL),312,241,22,-14
2503,1,AUTO,STRAIGHT(NO_CTRL),312,241,22,-14
2524,1,AUTO,STRAIGHT(NO_CTRL),312,241,22,-14
2546,1,AUTO,STRAIGHT(NO_CTRL),312,240,22,-15
2571,1,AUTO,STRAIGHT(NO_CTRL),312,240,22,-15
2590,1,AUTO,STRAIGHT(NO_CTRL),312,240,22,-15
2611,1,AUTO,STRAIGHT(NO_CTRL),313,240,23,-15
2643,1,AUTO,STRAIGHT(NO_CTRL),313,240,23,-15
2676,1,AUTO,STRAIGHT(NO_CTRL),314,239,24,-16
2696,1,AUTO,STRAIGHT(NO_CTRL),314,239,24,-16
2725,1,AUTO,STRAIGHT(NO_CTRL),314,239,24,-16
2746,1,AUTO,STRAIGHT(NO_CTRL),315,239,25,-16
2772,1,AUTO,STRAIGHT(NO_CTRL),315,239,25,-16
2793,1,AUTO,STRAIGHT(NO_CTRL),315,239,25,-16
2814,1,AUTO,STRAIGHT(NO_CTRL),316,238,26,-17
2835,1,AUTO,STRAIGHT(NO_CTRL),316,238,26,-17
2857,1,AUTO,STRAIGHT(NO_CTRL),316,238,26,-17
2880,1,AUTO,STRAIGHT(NO_CTRL),316,238,26,-17
2905,1,AUTO,STRAIGHT(NO_CTRL),316,238,26,-17
2927,1,AUTO,STRAIGHT(NO_CTRL),316,238,26,-17
2959,1,AUTO,STRAIGHT(NO_CTRL),316,237,26,-18
2982,1,AUTO,STRAIGHT(NO_CTRL),316,237,26,-18
3004,1,AUTO,STRAIGHT(NO_CTRL),316,237,26,-18
3026,1,AUTO,STOP,316,237,26,-18
3046,1,AUTO,STOP,316,237,26,-18
3070,1,AUTO,STOP,316,237,26,-18
3090,1,AUTO,STOP,317,237,27,-18
3110,1,AUTO,STOP,317,237,27,-18
3129,1,AUTO,STOP,317,237,27,-18
3154,1,AUTO,STOP,317,236,27,-19
3173,1,AUTO,STOP,317,236,27,-19
3196,1,AUTO,STOP,317,236,27,-19
3231,1,AUTO,STOP,318,235,28,-20
3253,1,AUTO,STOP,318,235,28,-20
3274,1,AUTO,STOP,318,235,28,-20
3299,1,AUTO,STOP,318,235,28,-20
3328,1,AUTO,STOP,318,235,28,-20
3353,1,AUTO,STOP,319,234,29,-21
3373,1,AUTO,STOP,319,234,29,-21
3392,1,AUTO,STOP,319,234,29,-21
3413,1,AUTO,STOP,320,233,30,-22
3443,1,AUTO,STOP,320,233,30,-22
3463,1,AUTO,STOP,320,233,30,-22
3491,1,AUTO,STOP,320,232,30,-23
3510,1,AUTO,STOP,320,232,30,-23
3529,1,AUTO,STOP,320,232,30,-23
3558,1,AUTO,STOP,321,231,31,-24
3578,1,AUTO,STOP,321,231,31,-24
3607,1,AUTO,STOP,321,231,31,-24
3624,1,AUTO,STOP,321,231,31,-24
3645,1,AUTO,STOP,321,231,31,-24
3675,1,AUTO,STOP,321,231,31,-24
3705,1,AUTO,STOP,321,231,31,-24
3727,1,AUTO,STOP,321,231,31,-24
3754,1,AUTO,STOP,321,231,31,-24
3777,1,AUTO,STOP,321,231,31,-24
3808,1,AUTO,STOP,321,231,31,-24
3829,1,AUTO,STOP,321,231,31,-24
3857,1,AUTO,STOP,321,231,31,-24
3883,1,AUTO,STOP,321,231,31,-24
3911,1,AUTO,STOP,321,231,31,-24
3940,1,AUTO,STOP,321,231,31,-24
3961,1,AUTO,STOP,321,231,31,-24
3993,1,AUTO,STOP,321,231,31,-24
4025,1,AUTO,STOP,321,231,31,-24
4047,1,AUTO,STOP,321,231,31,-24
4070,1,AUTO,STOP,321,231,31,-24
4091,1,AUTO,STOP,321,231,31,-24
4115,1,AUTO,STOP,321,231,31,-24
4138,1,AUTO,STOP,321,231,31,-24
4161,1,AUTO,STOP,321,231,31,-24
4189,1,AUTO,STOP,321,231,31,-24
4214,1,AUTO,STOP,321,231,31,-24
4239,1,AUTO,STOP,321,231,31,-24
4260,1,AUTO,STOP,321,231,31,-24
4280,1,AUTO,STOP,321,231,31,-24
4304,1,AUTO,STOP,321,231,31,-24
4327,1,AUTO,STOP,321,231,31,-24
4351,1,AUTO,STOP,321,231,31,-24
4376,1,AUTO,STOP,321,231,31,-24
4395,1,AUTO,STOP,321,231,31,-24
4421,1,AUTO,STOP,321,231,31,-24
4443,1,AUTO,STOP,321,231,31,-24
4476,1,AUTO,STOP,321,231,31,-24
4506,1,AUTO,STOP,321,231,31,-24
4529,1,AUTO,STOP,321,231,31,-24
4554,1,AUTO,STOP,321,231,31,-24
4582,1,AUTO,STOP,321,231,31,-24
4606,1,AUTO,STOP,321,231,31,-24
4634,1,AUTO,STOP,321,231,31,-24
4671,1,AUTO,STOP,321,231,31,-24
4705,1,AUTO,STOP,321,231,31,-24
4738,1,AUTO,STOP,321,231,31,-24
4768,1,AUTO,STOP,321,231,31,-24
4805,1,AUTO,STOP,321,231,31,-24
4836,1,AUTO,STOP,321,231,31,-24
4868,1,AUTO,STOP,321,231,31,-24
4914,1,AUTO,STOP,321,231,31,-24
4948,1,AUTO,STOP,321,231,31,-24
4993,1,AUTO,STOP,321,231,31,-24
5056,1,AUTO,STOP,321,231,31,-24
5098,1,AUTO,STOP,321,231,31,-24
5136,1,AUTO,STOP,321,231,31,-24
5167,1,AUTO,STOP,321,231,31,-24
5207,1,AUTO,STOP,321,231,31,-24
5237,1,AUTO,STOP,321,231,31,-24
5263,1,AUTO,STOP,321,231,31,-24
5302,1,AUTO,STOP,321,231,31,-24
5330,1,AUTO,STOP,321,231,31,-24
5358,1,AUTO,STOP,321,231,31,-24
5401,1,AUTO,STOP,321,231,31,-24
5429,1,AUTO,STOP,321,231,31,-24
5471,1,AUTO,STOP,321,231,31,-24
5502,1,AUTO,STOP,321,231,31,-24
5524,1,AUTO,STOP,321,231,31,-24
5548,1,AUTO,STOP,321,231,31,-24
5572,1,AUTO,STOP,321,231,31,-24
5596,1,AUTO,STOP,321,231,31,-24
5645,1,AUTO,STOP,321,231,31,-24
5684,1,AUTO,STOP,321,231,31,-24
5738,1,AUTO,STOP,321,231,31,-24
5788,1,AUTO,STOP,321,231,31,-24
5850,1,AUTO,STOP,321,231,31,-24
5886,1,AUTO,STOP,321,231,31,-24
