Time(ms),Mode,TargetInput,ActualCommand,BlueX,BlueY,RelX,RelY,LocalX,LocalY,Angle(deg)
0,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
18,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
33,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
59,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
74,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
90,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
106,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
122,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
137,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
153,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
168,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
184,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
201,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
219,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
234,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
251,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
267,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
285,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
301,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
317,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
335,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
350,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-92
367,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
383,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
402,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
418,1,AUTO,STRAIGHT(NO_CTRL),387,242,0,0,0,0,-90
